%time,field.Fix,field.Header.seq,field.Header.stamp,field.Header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_easting,field.UTM_northing,field.Zone,field.Letter
1664400171702194847,4,42,1664404081000000000,GPS1_Frame,42.337236833333336,-71.09017933333334,10.4,327809.7068227978,4689336.146439302,19.0,T
1664400172500583456,4,43,1664404089000000000,GPS1_Frame,42.337236833333336,-71.09017933333334,10.4,327809.7068227978,4689336.146439302,19.0,T
1664400174802292513,4,44,1664404090000000000,GPS1_Frame,42.337236833333336,-71.09017916666667,10.4,327809.720553478,4689336.146101797,19.0,T
1664400177101570241,4,45,1664404091000000000,GPS1_Frame,42.337236833333336,-71.09017933333334,10.4,327809.7068227978,4689336.146439302,19.0,T
1664400179402901771,4,46,1664404092000000000,GPS1_Frame,42.337236833333336,-71.09017916666667,10.4,327809.720553478,4689336.146101797,19.0,T
1664400181701415655,4,47,1664404093000000000,GPS1_Frame,42.337236833333336,-71.09017916666667,10.4,327809.720553478,4689336.146101797,19.0,T
1664400184000304096,4,48,1664404094000000000,GPS1_Frame,42.337237,-71.09017933333334,10.4,327809.70727770776,4689336.164946366,19.0,T
1664400186400814959,4,49,1664404103000000000,GPS1_Frame,42.337236833333336,-71.09017933333334,10.4,327809.7068227978,4689336.146439302,19.0,T
1664400188702279127,4,50,1664404104000000000,GPS1_Frame,42.337236833333336,-71.09017933333334,10.4,327809.7068227978,4689336.146439302,19.0,T
1664400191100270904,4,51,1664404105000000000,GPS1_Frame,42.337236833333336,-71.09017933333334,10.4,327809.7068227978,4689336.146439302,19.0,T
1664400193500583014,4,52,1664404106000000000,GPS1_Frame,42.337236833333336,-71.09017933333334,10.4,327809.7068227978,4689336.146439302,19.0,T
1664400195901960430,4,53,1664404107000000000,GPS1_Frame,42.337237,-71.09017933333334,10.4,327809.70727770776,4689336.164946366,19.0,T
1664400198300149530,4,54,1664404108000000000,GPS1_Frame,42.337237,-71.09017933333334,10.4,327809.70727770776,4689336.164946366,19.0,T
1664400199700594648,4,55,1664404116000000000,GPS1_Frame,42.337236833333336,-71.09017933333334,10.4,327809.7068227978,4689336.146439302,19.0,T
1664400202200833507,4,56,1664404117000000000,GPS1_Frame,42.337236833333336,-71.09017933333334,10.4,327809.7068227978,4689336.146439302,19.0,T
1664400204701072319,4,57,1664404118000000000,GPS1_Frame,42.337236833333336,-71.0901795,10.4,327809.69309211755,4689336.146776807,19.0,T
1664400207201422418,4,58,1664404119000000000,GPS1_Frame,42.337236833333336,-71.0901795,10.4,327809.69309211755,4689336.146776807,19.0,T
1664400209701568197,4,59,1664404120000000000,GPS1_Frame,42.337236833333336,-71.0901795,10.4,327809.69309211755,4689336.146776807,19.0,T
1664400212201473860,4,60,1664404121000000000,GPS1_Frame,42.337236833333336,-71.0901795,10.4,327809.69309211755,4689336.146776807,19.0,T
1664400212700234928,4,61,1664404129000000000,GPS1_Frame,42.337236833333336,-71.0901795,10.4,327809.69309211755,4689336.146776807,19.0,T
1664400215202111357,4,62,1664404130000000000,GPS1_Frame,42.337236833333336,-71.0901795,10.4,327809.69309211755,4689336.146776807,19.0,T
1664400217701320666,4,63,1664404131000000000,GPS1_Frame,42.337236833333336,-71.0901795,10.4,327809.69309211755,4689336.146776807,19.0,T
