%time,field.Fix,field.Header.seq,field.Header.stamp,field.Header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_easting,field.UTM_northing,field.Zone,field.Letter
1664394578253935918,4,8,1664395953000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394579248161745,4,9,1664395961000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394581346710433,4,10,1664395962000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394583447518256,4,11,1664395963000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394585548444008,4,12,1664395964000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394587648137775,4,13,1664395965000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394589748616487,4,14,1664395966000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394591846766246,4,15,1664395967000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394593161696494,4,16,1664395975000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394595248076805,4,17,1664395976000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394597446773885,4,18,1664395977000000000,GPS1_Frame,42.338396,-71.08647616666667,28.8,328117.94710243354,4689457.370686413,19.0,T
1664394599647289149,4,19,1664395978000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394601847424970,4,20,1664395979000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394604046871906,4,21,1664395980000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394606247309746,4,22,1664395981000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394606547207054,4,23,1664395988000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394608947681284,4,24,1664395989000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394611347391140,4,25,1664395990000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394613746811995,4,26,1664395991000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394616246758243,4,27,1664395992000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394618646669781,4,28,1664395993000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394619262814342,4,29,1664396001000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394621661789722,4,30,1664396002000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394624062317104,4,31,1664396003000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394626461904004,4,32,1664396004000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394628861692349,4,33,1664396005000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394631261788091,4,34,1664396006000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394632247934646,4,35,1664396014000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394634647396877,4,36,1664396015000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394637050232643,4,37,1664396016000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394639447172551,4,38,1664396017000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394641847143139,4,39,1664396018000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394644247246148,4,40,1664396019000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394645295207417,4,41,1664396027000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394647694719787,4,42,1664396028000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
1664394650095332879,4,43,1664396029000000000,GPS1_Frame,42.338396,-71.08647633333334,28.8,328117.9333720089,4689457.37102332,19.0,T
